StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef,,
NA,NA,NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorManager,クラス,,,,,,,2013/9/25 20:26,2013/9/25 20:36,0:00:00,FALSE,6,6,0,FALSE
NA,NA,NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorManager,クラス,,,,,,,2013/9/25 20:26,2013/9/25 20:36,0:00:00,FALSE,6,6,0,FALSE
NA,NA,NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorKindLoader,クラス,,,,,,,2013/9/25 20:26,2013/9/25 20:36,0:00:00,FALSE,6,6,0,FALSE
NA,NA,NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorKindLoader,クラス,,,,,,,2013/9/25 20:26,2013/9/25 20:36,0:00:00,FALSE,6,6,0,FALSE
NA,NA,NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorMaker,クラス,,,,,,,2013/9/25 20:26,2013/9/25 20:36,0:00:00,FALSE,6,6,0,FALSE
NA,NA,NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorMaker,クラス,,,,,,,2013/9/25 20:26,2013/9/25 20:36,0:00:00,FALSE,6,6,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.renderer.category,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.data.category,パッケージ,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,StandardChartTheme,変数,,,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,JFreeChart,クラス,,,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,PlotOrientation,変数,,,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
NA,NA,NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/9/25 20:36,2013/9/25 20:36,0:00:00,FALSE,23,23,0,FALSE
