ErrorID,エラーメッセージ
1,"シンボルを見つけられません"
2,"パッケージAは存在しません"
3,"<identifier>がありません"
4,"互換性のない型"
5,"例外Aは報告されません。スローするには、捕捉または宣言する必要があります"
6,"';'がありません"
7,"Aに適切なメソッドが見つかりません"
8,"')'がありません"
9,"式の開始が不正です"
10,"構文解析中にファイルの終わりに移りました"
11,"単項演算子Aのオペランド型Bが不正です"
12,"型Aと型Bは比較できません"
13,"文ではありません"
14,"'('がありません"
15,"型の開始が不正です"
16,"'{'がありません"
17,"Aに適切なコンストラクタが見つかりません"
18,"Aは不正な文字です"
19,"coco.view.CCErrorElementButtonはabstractでなく、java.awt.event.MouseListener内のabstractメソッドmouseExited(java.awt.event.MouseEvent)をオーバーライドしません"
20,"java.awt.Componentのwidthはpublicではありません。パッケージ外からはアクセスできません"
21,"java.awt.Componentのheightはpublicではありません。パッケージ外からはアクセスできません"
22,"superの呼出しはコンストラクタの先頭文である必要があります"
23,"クラスAのメソッドBは指定された型に適用できません。"
24,"class、interfaceまたはenumがありません"
25,"文字列リテラルが閉じられていません"
26,"クラスAのコンストラクタBは指定された型に適用できません。"
