1384310019890	Wed Nov 13 11:33:39 JST 2013	PROJECT_RECORD	START
1384310019892	Wed Nov 13 11:33:39 JST 2013	LOG	INFO	LoggingThread Start
1384310020427	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/CCConverterStart.java
1384310020431	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/CCViewerStart.java
1384310020437	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/controller/CCAddCompileErrorKinds.java
1384310020441	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/controller/CCCompileErrorConverter.java
1384310020448	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/controller/CCCompileErrorKindLoader.java
1384310020452	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/controller/CCCompileErrorLoader.java
1384310020456	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/controller/CCCsvFileLoader.java
1384310020460	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/controller/CCFileLoader.java
1384310020475	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/model/CCCompileError.java
1384310020483	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/model/CCCompileErrorList.java
1384310020623	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/model/CCCompileErrorManager.java
1384310020628	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/sourcefinder/CCSourceFinder.java
1384310020634	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/view/CCAchivementButton.java
1384310020640	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/view/CCAchivementFrame.java
1384310020644	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/view/CCErrorElementButton2.java
1384310020648	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/view/CCGraphBackgroundColor.java
1384310020653	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/view/CCGraphFrame.java
1384310020657	Wed Nov 13 11:33:40 JST 2013	COMMAND_RECORD	UPDATED	src/src/coco/view/CCMainFrame2.java
1384310019893	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	FILE_CREATED	src/src/coco/CCConverterStart.java
1384310019894	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/CCConverterStart.java
1384310020693	Wed Nov 13 11:33:40 JST 2013	LOG	DEBUG	already stamped.: src/src/coco/CCConverterStart.java
1384310019894	Wed Nov 13 11:33:39 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/CCConverterStart.java
