StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture04\1383205234135\ProjectBase\HundredBoxes3.java,"シンボルを見つけられません","wrap(int,int)",メソッド,,,,,,,2013/10/31 16:40:34,2013/10/31 16:40:44,0:00:10,true,1,1,10,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture04\1383204879192\ProjectBase\Pentagon3.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Turtle",クラス,"lt",メソッド,,,2013/10/31 16:34:39,2013/10/31 16:34:49,0:00:10,true,1,1,10,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383205618119\ProjectBase\Swastika.java,"変数AはすでにメソッドBで定義されています",,,"i",変数,"start()",メソッド,,,2013/10/31 16:46:58,2013/10/31 16:47:07,0:00:09,true,1,1,9,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383205747656\ProjectBase\TurtleRace.java,"互換性のない型",,,,,,,,,2013/10/31 16:49:07,2013/10/31 16:49:24,0:00:17,true,1,1,17,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383205959240\ProjectBase\TurtleRace.java,"';'がありません",,,,,,,,,2013/10/31 16:52:39,2013/10/31 16:52:43,0:00:03,true,1,1,3,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383205963033\ProjectBase\TurtleRace.java,"シンボルを見つけられません","i",変数,,,,,,,2013/10/31 16:52:43,2013/10/31 16:55:10,0:02:27,true,1,1,147,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383206200105\ProjectBase\TurtleRace.java,"変数AはすでにメソッドBで定義されています",,,"i",変数,"start()",メソッド,,,2013/10/31 16:56:40,2013/10/31 16:56:57,0:00:08,true,2,2,8,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383206200105\ProjectBase\TurtleRace.java,"変数AはすでにメソッドBで定義されています",,,"i",変数,"start()",メソッド,,,2013/10/31 16:56:40,2013/10/31 16:56:57,0:00:08,true,2,2,8,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383206217145\ProjectBase\TurtleRace.java,"シンボルを見つけられません","i",変数,,,,,,,2013/10/31 16:56:57,2013/10/31 16:57:02,0:00:05,true,1,1,5,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383206335545\ProjectBase\TurtleRace.java,"互換性のない型",,,,,,,,,2013/10/31 16:58:55,2013/10/31 16:59:17,0:00:22,true,1,1,22,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383206357705\ProjectBase\TurtleRace.java,"変数Aは初期化されていない可能性があります",,,"urtles",変数,,,,,2013/10/31 16:59:17,2013/11/13 15:50:15,0:00:00,false,2,2,0,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1383206357705\ProjectBase\TurtleRace.java,"変数Aは初期化されていない可能性があります",,,"urtles",変数,,,,,2013/10/31 16:59:17,2013/11/13 15:50:15,0:00:00,false,2,2,0,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1384325415026\ProjectBase\TurtleRace.java,"シンボルを見つけられません","turtles",変数,,,,,,,2013/11/13 15:50:15,2013/11/13 15:51:13,0:00:19,true,3,3,19,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1384325415026\ProjectBase\TurtleRace.java,"シンボルを見つけられません","turtles",変数,,,,,,,2013/11/13 15:50:15,2013/11/13 15:51:13,0:00:19,true,3,3,19,false
NA,NA,C:\Users\kawasumi\git\CRiPS\RonproEditor\testbase\MyProjects\.ppv\ppv.data\cash\hoge\lecture05\1384325415026\ProjectBase\TurtleRace.java,"シンボルを見つけられません","turtles",変数,,,,,,,2013/11/13 15:50:15,2013/11/13 15:51:13,0:00:19,true,3,3,19,false
